City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,asau,46.4333,26.4,277.75,95,100,0.95,RO,1674413810
84,qaqortoq,60.7167,-46.0333,261.91,64,0,4.2,GL,1674413810
85,butaritari,3.0707,172.7902,300.16,75,91,6.71,KI,1674413811
86,cabittaogan,17.5828,120.3656,297.32,78,25,1.55,PH,1674413811
87,el sauzal,31.9,-116.6833,287.83,56,11,2.81,MX,1674413811
88,mabayo,14.7318,120.2781,297.18,78,40,0.51,PH,1674413812
89,brae,60.3964,-1.353,281.65,93,100,7.56,GB,1674413812
90,longyearbyen,78.2186,15.6401,272.06,80,40,7.72,SJ,1674413813
91,xam nua,20.4197,104.0439,285.15,66,2,1.01,LA,1674413813
92,bosaso,11.2842,49.1816,297.17,66,62,5.21,SO,1674413813
93,gamba,-2.65,10.0,299.3,81,100,2.24,GA,1674413662
94,komsomolskiy,40.4272,71.7189,268.55,80,79,2.06,UZ,1674413814
95,barrow,71.2906,-156.7887,253.83,96,100,5.77,US,1674413815
96,bambanglipuro,-7.95,110.2833,297.74,89,100,2.83,ID,1674413815
97,kahului,20.8947,-156.47,298.06,84,11,7.15,US,1674413774
98,esperance,-33.8667,121.9,290.02,71,13,5.64,AU,1674413816
99,upernavik,72.7868,-56.1549,242.27,66,82,3.65,GL,1674413816
100,isangel,-19.55,169.2667,299.81,82,99,1.42,VU,1674413568
101,merauke,-8.4667,140.3333,298.15,92,100,3.94,ID,1674413817
102,brigantine,39.4101,-74.3646,279.27,77,100,1.79,US,1674413818
103,chicama,-7.8447,-79.1469,295.45,54,54,5.17,PE,1674413818
104,goma,-1.6792,29.2228,290.48,72,98,1.69,CD,1674413819
105,ostrovnoy,68.0531,39.5131,270.88,87,100,9.07,RU,1674413819
106,san patricio,28.017,-97.5169,293.66,23,0,5.02,US,1674413820
107,lagoa,39.05,-27.9833,288.6,70,100,8.38,PT,1674413820
108,constitucion,-35.3333,-72.4167,295.89,56,7,7.14,CL,1674413820
109,clyde river,70.4692,-68.5914,240.28,68,100,11.83,CA,1674413821
110,xuddur,4.1213,43.8894,300.29,45,32,6.79,SO,1674413821
111,huarmey,-10.0681,-78.1522,297.23,73,53,4.21,PE,1674413822
112,adeje,28.1227,-16.726,291.66,66,40,6.69,ES,1674413822
113,kamenka,51.3223,42.7678,268.29,86,100,4.78,RU,1674413823
114,gravdal,68.1214,13.5031,277.2,88,100,19.18,NO,1674413823
115,the valley,18.217,-63.0578,301.07,65,20,7.2,AI,1674413824
116,pisco,-13.7,-76.2167,298.16,73,0,4.63,PE,1674413707
117,provideniya,64.3833,-173.3,247.29,89,52,6.91,RU,1674413825
118,san quintin,30.4833,-115.95,288.45,47,0,4.25,MX,1674413825
119,vila velha,-20.3297,-40.2925,301.12,78,75,4.12,BR,1674413825
120,fonte boa,-2.4959,-66.2662,303.37,61,27,2.1,BR,1674413826
121,yabrud,33.9674,36.6574,278.62,77,0,1.19,SY,1674413826
122,pevek,69.7008,170.3133,236.1,98,100,1.47,RU,1674413827
123,khatanga,71.9667,102.5,233.68,89,17,1.37,RU,1674413827
124,kudahuvadhoo,2.6708,72.8944,299.69,78,99,6.33,MV,1674413828
125,nemuro,43.3236,145.575,265.27,65,14,8.64,JP,1674413828
126,bardiyah,31.7561,25.0865,288.78,66,0,4.54,LY,1674413829
127,san cristobal,7.7669,-72.225,299.25,41,97,3.23,VE,1674413829
128,christchurch,-43.5333,172.6333,287.01,86,100,2.06,NZ,1674413602
129,korla,41.7597,86.1469,261.85,66,2,3.84,CN,1674413830
130,bambous virieux,-20.3428,57.7575,299.29,83,75,1.54,MU,1674413831
131,norman wells,65.282,-126.8329,254.17,84,100,0.0,CA,1674413831
132,bonthe,7.5264,-12.505,299.37,68,19,4.85,SL,1674413831
133,manzil salim,35.8567,8.4765,275.66,91,99,5.69,TN,1674413832
134,elko,41.0002,-115.5012,268.18,75,57,1.34,US,1674413832
135,saint-philippe,-21.3585,55.7679,297.92,84,100,3.76,RE,1674413833
136,stanger,-29.3282,31.2895,298.09,93,3,1.4,ZA,1674413833
137,melilla,35.2937,-2.9383,283.36,57,0,0.0,ES,1674413834
138,russell,32.3502,-85.1999,285.75,93,100,1.54,US,1674413834
139,batticaloa,7.7102,81.6924,297.6,86,100,3.39,LK,1674413835
140,yulara,-25.2406,130.9889,299.98,39,5,3.14,AU,1674413835
141,shieli,44.1667,66.75,267.49,53,0,8.1,KZ,1674413836
142,nabire,-3.3667,135.4833,296.51,93,100,1.44,ID,1674413836
143,yaan,7.3833,8.5667,304.03,13,100,1.43,NG,1674413837
144,kaitangata,-46.2817,169.8464,283.21,68,10,2.96,NZ,1674413837
145,buin,-33.7333,-70.75,306.17,16,0,4.57,CL,1674413838
146,umm lajj,25.0213,37.2685,295.32,59,0,4.19,SA,1674413838
147,fairbanks,64.8378,-147.7164,236.06,98,37,1.14,US,1674413737
148,yelizovo,53.1873,158.3805,252.23,65,75,3.0,RU,1674413839
149,zhanaozen,43.3,52.8,271.89,78,1,6.45,KZ,1674413839
150,goure,13.9835,10.2704,296.72,10,4,3.93,NE,1674413840
151,cockburn town,21.4612,-71.1419,298.5,75,5,8.75,TC,1674413586
152,vao,-22.6667,167.4833,299.04,86,100,9.64,NC,1674413840
153,new norfolk,-42.7826,147.0587,287.43,73,33,0.95,AU,1674413841
154,dudinka,69.4058,86.1778,246.67,97,41,3.29,RU,1674413841
155,ribeira grande,38.5167,-28.7,289.69,82,20,8.05,PT,1674413842
156,chitral,35.8462,71.7858,272.68,96,100,0.11,PK,1674413842
157,santiago del estero,-27.7951,-64.2615,309.06,33,65,2.93,AR,1674413805
158,gudalur,9.6833,77.2667,292.51,92,100,0.99,IN,1674413843
